,V
0,-59.87727272727272
1,-59.83030303030303
2,-59.714848484848474
3,-59.772121212121206
4,-59.648484848484834
5,-59.667575757575754
6,-59.580606060606044
7,-59.5430303030303
8,-59.496060606060574
9,-59.379696969696965
10,-59.33242424242423
11,-59.27515151515153
12,-59.273939393939386
13,-59.30333333333333
14,-59.20818181818181
15,-59.17030303030302
16,-59.11272727272728
17,-58.998484848484836
18,-58.94030303030303
19,-58.9121212121212
20,-58.872727272727275
21,-58.767878787878786
22,-58.77727272727273
23,-58.68181818181819
24,-58.69151515151514
25,-58.59515151515151
26,-58.56696969696969
27,-58.47212121212121
28,-58.375454545454545
29,-58.35636363636363
30,-58.32727272727272
31,-58.212727272727264
32,-58.10727272727273
33,-58.01303030303031
34,-57.96424242424241
35,-57.91575757575756
36,-57.926666666666655
37,-57.80181818181818
38,-57.82121212121212
39,-57.70636363636365
40,-57.649393939393946
41,-57.58242424242426
42,-57.534848484848496
43,-57.48696969696971
44,-57.3909090909091
45,-57.33333333333333
46,-57.29484848484849
47,-57.19030303030302
48,-57.190000000000005
49,-57.08515151515151
50,-57.06666666666668
51,-57.03757575757575
52,-56.960909090909084
53,-56.942727272727275
54,-56.81757575757575
55,-56.74181818181818
56,-56.66575757575757
57,-56.69424242424243
58,-56.589393939393965
59,-56.49363636363638
60,-56.493939393939414
61,-56.45606060606062
62,-56.38818181818181
63,-56.33121212121213
64,-56.359696969696984
65,-56.13000000000001
66,-56.08303030303032
67,-56.16818181818182
68,-56.102121212121226
69,-55.977878787878794
70,-55.9778787878788
71,-55.910606060606064
72,-55.85272727272727
73,-55.83363636363639
74,-55.75818181818182
75,-55.77606060606061
76,-55.66272727272728
77,-55.60515151515153
78,-55.595454545454565
79,-55.39424242424242
80,-55.4039393939394
81,-55.37606060606061
82,-55.376060606060605
83,-55.30818181818183
84,-55.2887878787879
85,-55.222424242424246
86,-55.12727272727275
87,-55.11666666666667
88,-55.13606060606062
89,-55.05878787878789
90,-54.972727272727276
91,-54.95424242424242
92,-54.88636363636365
93,-54.86757575757577
94,-54.848181818181835
95,-54.74333333333334
96,-54.752121212121224
97,-54.7630303030303
98,-54.71454545454545
99,-54.675757575757586
100,-54.66666666666667
101,-54.580000000000005
102,-54.54212121212122
103,-54.514242424242425
104,-54.42696969696969
105,-54.466363636363646
106,-54.47636363636364
107,-54.46575757575757
108,-54.30333333333334
109,-54.331818181818186
110,-54.22727272727271
111,-54.22606060606061
112,-54.23606060606059
113,-54.16030303030302
114,-54.1790909090909
115,-54.026666666666664
116,-53.95060606060605
117,-53.27060606060606
118,-52.04757575757575
119,-51.627575757575755
120,-51.369090909090914
121,-51.26393939393938
122,-51.035151515151504
123,-50.5090909090909
124,-49.39060606060605
125,-48.589393939393936
126,-47.30727272727272
127,-44.908484848484854
128,-42.260606060606044
129,-39.499393939393926
130,-36.888787878787866
131,-35.04515151515151
132,-34.213636363636354
133,-33.468181818181804
134,-32.15969696969695
135,-29.979696969696956
136,-26.815757575757562
137,-24.36
138,-23.10757575757574
139,-22.074848484848474
140,-20.622424242424234
141,-19.484848484848477
142,-17.87060606060605
143,-15.815454545454548
144,-14.91666666666667
145,-14.380909090909094
146,-13.970909090909096
147,-13.311212121212126
148,-12.98575757575758
